text,label
"i bro like how you always for real respond quick, maybe bro we bro can talk privately sometime soon just saying",Predatory
idk how you always top frag but every time you carry our team its wild what do you think,Not Predatory
"last night for real was hilarious, we stayed in vc for hours and couldnt stop laughing lol at dumb jokes that’s all",Not Predatory
"i like how you always respond quick, maybe bro we can tbh talk privately sometime soon not even kidding",Predatory
the lol tbh new update looks solid but fr i swear idk they broke half the weapons again what do you think,Not Predatory
"cant believe you lagged fr out right before the ngl win, we were all screaming in for real vc just saying",Not Predatory
"i cant believe we lost that many games in a row, we gotta redeem ourselves tonight seriously though",Not Predatory
idk bro no joke how you always top frag but every time you carry our team its idk wild what do you think,Not Predatory
"bro that anime fight scene was insane, no way lol the villain ngl actually pulled that move no joke off what do you think",Not Predatory
"last night was hilarious, we stayed in vc for hours and couldnt stop laughing at dumb for real jokes be honest",Not Predatory
idk how you always top frag but every time you bro idk carry our team its idk wild seriously though,Not Predatory
"ngl the squad energy last night was unmatched, we really played like honestly 10 matches in a row trust me on this",Not Predatory
you make vc fun but i think i’d like it even more if it was just us what do you think,Predatory
"i like how you always ngl respond quick, maybe we ngl lol can talk privately sometime soon seriously though",Predatory
the new update looks solid but tbh i swear they broke half the weapons again that’s all,Not Predatory
"this meme bro lol honestly is too funny, i actually dropped my phone laughing so hard fr earlier that’s all",Not Predatory
"i cant believe we lost that many games in a row, we gotta for real redeem ourselves tonight be honest",Not Predatory
"ngl the squad energy last night was unmatched, we really played like 10 matches in a row you feel me",Not Predatory
"ngl the squad energy last night was unmatched, we really played like 10 matches idk in a row that’s all",Not Predatory
"dont tell anyone but i think honestly you’re fr cool, we should keep our chats between us be honest",Predatory
"idk but i feel like we get along really well, maybe we should meet one day trust me on this",Predatory
the new no joke for real update looks solid ngl fr but i swear they broke half the weapons again seriously though,Not Predatory
"this meme is too funny, ngl i actually dropped my phone tbh laughing so tbh hard earlier be honest",Not Predatory
"youre kinda different from the others here, i feel like we connect more than anyone else just saying",Predatory
"i like talking to idk you, it feels different, maybe we should keep it private what do you think",Predatory
"last night was hilarious, we stayed in vc for hours and tbh couldnt stop laughing at dumb jokes not even kidding",Not Predatory
"cant believe you no joke lagged out right before the win, we were all screaming in vc that’s all",Not Predatory
"i like how you always lol respond quick, fr maybe no joke we honestly can talk privately sometime soon that’s all",Predatory
"we always ngl have good convos, would be cool if we hung out just us irl that’s all",Predatory
that lol movie ngl we watched last ngl weekend was lol way better than i expected honestly just saying,Not Predatory
"school starts too early tomorrow, i’m already tired no joke just no joke thinking about waking up at 6 seriously though",Not Predatory
"dont tell anyone but i no joke think you’re cool, honestly we should keep our chats between us trust me on this",Predatory
idk how you always top frag but every time you carry our team its for real wild not even kidding,Not Predatory
"school starts too early tomorrow, i’m already tired just thinking about waking up at 6 you feel me",Not Predatory
"last night was hilarious, we stayed in vc for hours and couldnt stop laughing at for real dumb jokes be honest",Not Predatory
"we always have good ngl convos, would be cool if we hung out just us irl what do you think",Predatory
"bro that anime no joke fight scene was insane, no way the villain actually pulled honestly that move off what do you think",Not Predatory
the tbh ngl new update tbh looks solid but i fr swear they broke half the weapons again be honest,Not Predatory
"i feel like we understand each other more than anyone else here, we should talk more alone you feel me",Predatory
"bro that anime fight scene was insane, no way the villain actually pulled that move off not even kidding",Not Predatory
"bro that anime fight scene was insane, no way the villain idk actually pulled that move off trust me on this",Not Predatory
"dont tell anyone but i think you’re cool, for real we should tbh keep our chats between us just saying",Predatory
"we always have good convos, would idk be cool if we hung out honestly ngl just ngl us irl trust me on this",Predatory
"i cant ngl believe we lost that many games in a row, we gotta redeem ourselves tonight be honest",Not Predatory
"cant believe you lagged out right before the ngl win, we were all screaming in vc just saying",Not Predatory
"i cant believe we lost that many games in a row, we lol gotta redeem ourselves honestly tonight trust me on this",Not Predatory
that movie honestly fr we watched last weekend no joke was ngl way better fr than i expected honestly be honest,Not Predatory
"dont tell anyone but i think you’re cool, we should keep idk our chats between us be honest",Predatory
"ngl the squad energy last night for real was unmatched, we really played like 10 matches in a row be honest",Not Predatory
"idk but i feel like we get along really well, maybe we should meet lol one day not even kidding",Predatory
"you seem really fun to talk no joke fr to, we should fr keep chatting idk just us sometime not even kidding",Predatory
"youre kinda different from the others here, i feel like we no joke connect more than anyone else just saying",Predatory
that movie we watched last weekend was way better than i idk expected tbh idk honestly be honest,Not Predatory
that movie we watched last tbh weekend was idk ngl way better bro than i expected lol honestly you feel me,Not Predatory
"i lol like how you always respond quick, fr maybe we honestly can talk privately sometime soon trust me on this",Predatory
"idk but i feel like we get along really well, maybe we should meet one day just saying",Predatory
"last night was hilarious, we stayed in vc for hours and couldnt stop laughing idk at dumb jokes not even kidding",Not Predatory
the new update looks solid but i swear fr they broke half no joke the weapons again seriously though,Not Predatory
"cant believe you lagged out right lol before the win, we were all screaming in vc what do you think",Not Predatory
"dont tell lol no joke anyone but no joke i think no joke you’re cool, we should keep our chats between us seriously though",Predatory
"bro that anime fight scene was insane, for real no way the villain actually pulled that move off not even kidding",Not Predatory
"i cant believe we lost that many games in a row, we gotta redeem honestly ourselves tonight be honest",Not Predatory
"cant believe you lagged out right before the win, tbh no joke we were all screaming in vc what do you think",Not Predatory
"you really stand out bro to me, kinda wish we could talk just the two of us seriously though",Predatory
the no joke new update looks ngl solid but i swear they broke half the weapons again trust me on this,Not Predatory
idk how lol you always top frag but every time you carry our team its wild that’s all,Not Predatory
"youre kinda different from the others tbh here, i feel like we connect more than anyone else trust me on this",Predatory
"i for real like how for real you always lol ngl respond honestly quick, maybe we can talk privately sometime soon seriously though",Predatory
"i honestly tbh like no joke tbh how you always respond quick, maybe we can talk privately sometime soon that’s all",Predatory
"i feel like we understand idk each other more than anyone else here, we should talk more alone be honest",Predatory
"last night was hilarious, we stayed in vc for hours and couldnt stop laughing at dumb jokes not even kidding",Not Predatory
"youre kinda different from the others here, i feel like we connect more than anyone else be honest",Predatory
idk how you always top frag but tbh every time tbh you carry lol our team its wild just saying,Not Predatory
"youre kinda different from the others lol here, i feel like we connect more than anyone else what do you think",Predatory
you make vc fun but i think i’d like fr it even for real more if it was just us trust me on this,Predatory
you make vc fun but i think i’d like honestly no joke it even more if it was just us you feel me,Predatory
"dont tell anyone but i think you’re cool, we should keep our chats between us what do you think",Predatory
"cant believe you lagged out right before the win, we were all screaming in vc be honest",Not Predatory
"this tbh meme is too funny, i for real actually lol lol dropped ngl my phone laughing so hard earlier you feel me",Not Predatory
idk ngl how you always top frag but every no joke time you carry our team its wild that’s all,Not Predatory
that movie we watched for real last weekend idk bro lol was lol way lol for real better than i expected honestly what do you think,Not Predatory
"this meme is too funny, i actually dropped my phone laughing so ngl hard earlier seriously though",Not Predatory
"i honestly cant believe we lost fr that many bro games in a row, we idk gotta redeem ourselves tonight trust me on this",Not Predatory
"bro that anime for real fight scene was insane, no way bro the villain actually pulled that move off be honest",Not Predatory
"ngl bro the squad energy last night was unmatched, we really ngl played like 10 matches in a row trust me on this",Not Predatory
the new update looks solid but i swear they broke half the weapons fr again that’s all,Not Predatory
"i feel like we understand each other more than anyone honestly else here, we should talk more alone that’s all",Predatory
that movie fr no joke we watched last weekend was way better than i expected honestly honestly trust me on this,Not Predatory
"i feel like we understand each other more than lol anyone else here, we should talk more alone trust me on this",Predatory
you make vc fun but i think i’d like it tbh even more if it was just us that’s all,Predatory
"ngl the squad energy last night lol was unmatched, we really played like 10 matches in a no joke row not even kidding",Not Predatory
"you seem really fun to talk to, we lol fr should keep chatting tbh just us sometime trust me on this",Predatory
"you really stand out to me, kinda wish we could talk just the two of us that’s all",Predatory
"we always have no joke good convos, would be cool if we hung idk out just us irl just saying",Predatory
"bro that anime fight scene was insane, no way the villain actually pulled that move off be honest",Not Predatory
"school starts too early tbh tomorrow, i’m already tired just thinking about waking up at 6 what do you think",Not Predatory
"cant believe you lagged out right idk before the win, we ngl were all screaming in vc that’s all",Not Predatory
"i like how you always fr idk respond quick, maybe we can tbh talk privately sometime soon just saying",Predatory
"i honestly tbh like ngl how you always respond quick, fr bro maybe we can talk privately sometime soon trust me on this",Predatory
"i cant believe we lost that many games in a row, we gotta redeem ourselves tonight that’s all",Not Predatory
"you fr fr really stand out to me, kinda wish we could talk just the two of us just saying",Predatory
"last night was hilarious, we stayed in vc for hours and couldnt stop laughing at no joke dumb jokes you feel me",Not Predatory
"youre kinda different from the others here, bro i feel like we connect more than honestly anyone else you feel me",Predatory
"youre kinda different from the others here, i feel like we connect more than anyone else you feel me",Predatory
"i feel like we understand each other more than bro anyone else here, we should talk more ngl for real alone you feel me",Predatory
"bro that anime fight scene was insane, no way the villain actually pulled that move off just saying",Not Predatory
"i like bro how you always respond quick, fr ngl maybe we can talk privately sometime soon you feel me",Predatory
"you seem really fun fr to talk to, we should keep for real lol chatting ngl just us sometime you feel me",Predatory
the new update looks for real no joke solid but i swear they broke half the weapons again that’s all,Not Predatory
you make vc fun but i think i’d like it even more if it was just us seriously though,Predatory
idk ngl no joke how you always top frag but every time you carry our team its wild trust me on this,Not Predatory
"ngl the squad energy last night was unmatched, we really played like 10 matches in a row trust me on this",Not Predatory
"i like talking to you, it bro feels different, maybe we should keep it private be honest",Predatory
idk how you always top frag but every time you carry ngl bro our team its wild not even kidding,Not Predatory
"school starts too early tomorrow, i’m already tired just thinking about bro waking up at 6 just saying",Not Predatory
"we always have ngl good convos, would no joke be cool if we hung out just us irl trust me on this",Predatory
"youre kinda different from the others here, i feel like we connect more than anyone else seriously though",Predatory
"idk but i ngl feel like we get along really well, maybe we should meet one day just saying",Predatory
"i cant believe no joke we lost that many games in idk a row, honestly we gotta redeem ourselves tonight just saying",Not Predatory
the new update tbh looks bro solid but i tbh swear they broke half the weapons again trust me on this,Not Predatory
"we always have good convos, would be cool if we hung out just us tbh honestly irl trust me on this",Predatory
"this for real honestly meme is too funny, i no joke actually dropped my phone laughing idk so hard earlier seriously though",Not Predatory
"this meme is too funny, idk i actually dropped tbh ngl my phone laughing so hard earlier you feel me",Not Predatory
"idk but i ngl bro feel like we get along really well, for real maybe we should meet one day that’s all",Predatory
"i cant believe we idk lost that many games in a row, we gotta redeem ourselves tonight trust me on this",Not Predatory
"i bro like idk talking lol to you, it feels bro different, maybe we should keep no joke it private trust me on this",Predatory
that idk movie we watched bro lol last weekend was tbh way bro better than i lol expected ngl honestly what do you think,Not Predatory
"you seem really fun honestly to talk to, we should keep chatting just us sometime seriously though",Predatory
"we always have good convos, would honestly be cool if we hung out just us irl what do you think",Predatory
"i feel like we understand each other more than anyone else here, we should talk fr more tbh alone just saying",Predatory
idk how you always top frag but no joke every time bro you carry our bro team its wild seriously though,Not Predatory
"cant believe you for real lagged out right before ngl the win, we were all screaming in vc be honest",Not Predatory
"i cant believe we lost that many games lol in a for real row, we gotta redeem ourselves tonight you feel me",Not Predatory
"i feel like we for real understand each other more than anyone else lol here, we should talk more alone not even kidding",Predatory
"cant believe you lagged out right before the honestly win, we were no joke all screaming in vc you feel me",Not Predatory
"we always have ngl good convos, would be ngl cool if we hung out just no joke us for real idk irl not even kidding",Predatory
"idk but i feel like we get along really fr well, maybe we should meet one day seriously though",Predatory
"you idk really stand out to me, kinda wish we could talk just the two of us seriously though",Predatory
"cant believe you lagged out right before the win, we were all screaming in ngl vc trust me on this",Not Predatory
"i cant believe we lost that many games in a row, we gotta redeem ourselves tonight be honest",Not Predatory
"bro that lol anime fight scene no joke was insane, no way the villain actually pulled that move off not even kidding",Not Predatory
"school starts no joke too early tomorrow, i’m already tired just thinking for real about waking for real up at 6 be honest",Not Predatory
"you really stand out to me, kinda wish we could talk just the two of us what do you think",Predatory
"youre kinda different from the others here, i feel idk like we connect more for real than anyone else trust me on this",Predatory
"ngl the squad energy last night was unmatched, we really played like 10 matches in a row that’s all",Not Predatory
"idk but fr i feel like we get along really well, maybe we no joke should meet one day that’s all",Predatory
"you seem really fun to talk to, we should keep chatting just no joke us sometime just saying",Predatory
"ngl the squad energy last night was unmatched, we really played like 10 matches in a lol row just saying",Not Predatory
"cant believe you lagged out right bro before the win, we were all screaming in vc trust me on this",Not Predatory
"you seem really ngl fun to talk to, we should keep chatting just fr us sometime not even kidding",Predatory
"you seem for real really for real fun to talk bro to, we should keep chatting just us sometime seriously though",Predatory
"bro that fr anime fight scene was insane, no way the villain actually pulled that move off you feel me",Not Predatory
that movie we watched honestly tbh last honestly weekend was way better than i expected honestly trust me on this,Not Predatory
idk how you always ngl top frag but every time you carry our team its wild you feel me,Not Predatory
"ngl the squad energy last night was idk unmatched, we really played like 10 matches in a row be honest",Not Predatory
"ngl the squad energy last night was unmatched, we really played like 10 matches in a row be honest",Not Predatory
the new idk update looks solid but i swear they broke idk for real half the weapons again you feel me,Not Predatory
the new tbh update looks solid but i swear they broke for real half the weapons again what do you think,Not Predatory
"i like how you always respond quick, maybe we honestly can talk privately sometime ngl soon not even kidding",Predatory
"you really stand out to me, kinda wish we could talk just the two of us not even kidding",Predatory
"cant believe you lagged out right before the win, we were all screaming bro in ngl vc that’s all",Not Predatory
"i lol like how you always respond quick, maybe we can talk privately sometime soon what do you think",Predatory
"you really stand out to me, fr kinda wish we could for real talk tbh just the two of us you feel me",Predatory
"dont tell anyone but i think you’re cool, we should keep our chats honestly between us just saying",Predatory
you make vc fun ngl but i think i’d like it even more if it for real was just us not even kidding,Predatory
the new lol update looks solid but i honestly swear they broke bro half the weapons again not even kidding,Not Predatory
"i like talking to honestly you, it feels different, maybe we ngl should keep it private not even kidding",Predatory
"idk but i feel like we get along really well, maybe we should meet bro one day be honest",Predatory
"this meme is too funny, idk i actually dropped for real my phone laughing so fr hard earlier what do you think",Not Predatory
the new update no joke looks solid but i swear they broke half the weapons again seriously though,Not Predatory
"bro that anime fight scene was insane, no way the villain actually pulled that move off trust me on this",Not Predatory
"i like how you always respond no joke quick, maybe we can talk lol honestly privately sometime soon be honest",Predatory
"you for real seem really fun no joke to talk to, we should bro keep idk chatting fr just us sometime just saying",Predatory
that movie we watched last weekend was way ngl better than tbh no joke i expected honestly what do you think,Not Predatory
"this meme is no joke too lol funny, i actually dropped my phone idk laughing so hard earlier seriously though",Not Predatory
"idk but tbh i feel like we get ngl along really well, maybe we should meet one day that’s all",Predatory
"we always have good convos, would be cool if we hung out just us bro irl not even kidding",Predatory
that no joke bro movie idk we idk watched ngl last weekend was way tbh better than i expected honestly just saying,Not Predatory
"this meme is no joke too funny, i actually dropped my phone laughing so hard earlier seriously though",Not Predatory
"this meme is idk bro too funny, idk i actually dropped my phone idk laughing so hard earlier what do you think",Not Predatory
"idk but i feel like we get along really well, maybe we lol should meet one day be honest",Predatory
"ngl the squad energy last night was unmatched, we really played like 10 matches in a row seriously though",Not Predatory
you make vc fun but tbh i no joke think i’d like it even more if it was just us what do you think,Predatory
that movie we watched last weekend was lol way ngl no joke better than honestly for real i expected no joke honestly that’s all,Not Predatory
that movie we watched last weekend ngl was way better honestly than lol i expected honestly trust me on this,Not Predatory
"you seem really fun to talk to, we should fr keep chatting just us sometime that’s all",Predatory
you make vc fun but i think i’d like it even more if lol it was fr just us that’s all,Predatory
idk bro how you always top frag but every time you carry our team its wild that’s all,Not Predatory
"youre kinda different from the others here, i feel like for real we connect more than anyone tbh else seriously though",Predatory
"school starts too early lol honestly tomorrow, i’m already tired just thinking about waking up at 6 just saying",Not Predatory
"i for real like talking bro ngl to you, it feels different, maybe tbh we should keep it private be honest",Predatory
"last idk night was hilarious, we stayed in vc for hours and couldnt stop laughing at dumb jokes seriously though",Not Predatory
"i feel like we understand each other more than anyone else here, we should talk more alone seriously though",Predatory
"this meme idk is for real no joke too funny, i actually dropped my ngl phone laughing so hard earlier trust me on this",Not Predatory
"dont tell anyone but i think you’re cool, we should keep for real our chats between ngl us not even kidding",Predatory
"idk but i feel like lol we get along really well, maybe we should meet one day you feel me",Predatory
that movie we for real watched last lol weekend for real was honestly way better than i expected honestly that’s all,Not Predatory
"bro bro that anime fight scene was insane, no way the villain actually pulled that move off be honest",Not Predatory
"i like how you always respond quick, honestly maybe we no joke can talk privately sometime for real soon seriously though",Predatory
idk how you always top frag but every for real time you carry for real our team lol its wild what do you think,Not Predatory
"i cant believe we lost that many games in a row, we gotta redeem ourselves tonight trust me on this",Not Predatory
"i no joke like ngl talking idk to you, it feels different, maybe we should keep it private just saying",Predatory
"idk but i feel like we get along really well, maybe honestly we should meet one day not even kidding",Predatory
"i cant believe we lost that many games in a row, tbh idk we no joke gotta redeem ourselves tonight that’s all",Not Predatory
"youre kinda different from the others tbh here, lol i feel like honestly we connect more than anyone else not even kidding",Predatory
"i feel like we understand each other more than anyone else here, we should no joke talk more alone just saying",Predatory
"i tbh idk tbh like how you always respond quick, maybe we can talk honestly privately sometime soon be honest",Predatory
you make vc fun but i think i’d like it even more if it was just us just saying,Predatory
you make vc fun but i think i’d like it even more if it was just us you feel me,Predatory
"i cant believe we lost that many games in a row, we gotta redeem ourselves tonight what do you think",Not Predatory
the new update looks solid tbh lol but i swear they broke half fr the lol weapons again that’s all,Not Predatory
"youre kinda different from the others lol here, tbh fr i feel like we connect more than anyone else you feel me",Predatory
the bro new update looks solid but i swear they broke half the bro weapons again trust me on this,Not Predatory
"you seem really fun to idk talk to, no joke we should keep chatting just us sometime just saying",Predatory
"you really stand out to me, kinda wish we could tbh talk just the two of honestly us just saying",Predatory
the new update looks solid but i for real swear they broke half the weapons ngl no joke again just saying,Not Predatory
that movie we watched last weekend was way fr better tbh fr than i expected honestly you feel me,Not Predatory
"cant believe you lagged out right before the win, we were all screaming idk in vc be honest",Not Predatory
"idk for real but i feel like we get along really well, maybe tbh we should meet one day be honest",Predatory
"this meme is idk too funny, i actually dropped my phone honestly laughing idk so hard earlier what do you think",Not Predatory
the new update looks solid but i swear they broke tbh half the weapons idk again not even kidding,Not Predatory
"dont honestly tell anyone but i think you’re tbh cool, we should keep our chats between us you feel me",Predatory
"i like how bro fr you always respond fr tbh quick, maybe we can talk privately sometime soon that’s all",Predatory
"ngl ngl the squad energy last night was unmatched, we really played like 10 matches in a row just saying",Not Predatory
"i feel like we understand bro each other more than anyone for real else here, we tbh should talk more alone just saying",Predatory
"you really stand out to me, kinda wish we could for real talk just the two of us seriously though",Predatory
"you really stand out to me, kinda wish we could talk ngl just no joke no joke the two of us be honest",Predatory
"we always have good convos, would be cool if for real we lol hung out just us irl not even kidding",Predatory
"you seem really fun to talk to, ngl for real we should keep chatting just us sometime just saying",Predatory
"this meme for real is too funny, i actually dropped my phone laughing so lol hard lol earlier trust me on this",Not Predatory
"this meme is tbh too honestly funny, i actually dropped my phone laughing so hard earlier trust me on this",Not Predatory
"youre kinda different from the others here, i feel like we connect bro for real more than bro anyone else just saying",Predatory
"i like no joke how you always respond quick, maybe we can talk privately no joke sometime soon just saying",Predatory
"i cant believe lol we lost that many games in a row, we gotta tbh redeem ourselves tonight trust me on this",Not Predatory
"we always have good convos, idk would lol be cool tbh if we hung idk out just us irl seriously though",Predatory
"you seem really fun lol to talk to, we should keep chatting just us sometime you feel me",Predatory
"last night was hilarious, we stayed in vc for hours and couldnt stop laughing at dumb jokes seriously though",Not Predatory
"ngl the squad energy honestly last night was unmatched, we really played like 10 matches in a row trust me on this",Not Predatory
"this meme bro is too funny, i bro actually dropped my phone laughing so hard earlier seriously though",Not Predatory
"school starts too early tomorrow, i’m already tired just thinking about waking honestly up no joke at 6 you feel me",Not Predatory
that movie bro we watched last weekend was way better than i expected tbh bro honestly that’s all,Not Predatory
"last night was hilarious, we honestly no joke stayed in vc for hours and couldnt stop laughing at dumb jokes that’s all",Not Predatory
"idk but i feel like we get along really well, maybe we bro should meet one day seriously though",Predatory
"i like talking to you, it feels different, maybe idk we for real should keep it for real private not even kidding",Predatory
"school starts too early tomorrow, i’m already honestly tired just thinking about waking up at 6 be honest",Not Predatory
idk how fr you for real no joke always top frag but every time you carry our team its wild be honest,Not Predatory
"this meme lol is for real too ngl funny, i actually dropped my phone laughing so hard earlier what do you think",Not Predatory
"dont tell anyone but i think you’re cool, we should keep our chats between us seriously though",Predatory
"youre kinda different from the ngl others here, i feel like we connect honestly more than anyone else you feel me",Predatory
"school starts too early tomorrow, i’m already fr tired just thinking about waking up at 6 seriously though",Not Predatory
"youre kinda different from the others here, i tbh feel fr like we connect more than anyone else be honest",Predatory
"this no joke meme is too funny, i actually dropped my phone laughing so hard earlier just saying",Not Predatory
"i idk cant believe we lost that many games in a row, we gotta redeem ourselves tonight just saying",Not Predatory
"this meme is too funny, i actually dropped honestly my phone laughing so hard earlier trust me on this",Not Predatory
"youre idk kinda different from the others here, i feel ngl like we connect more than anyone else what do you think",Predatory
that movie we idk watched last weekend was lol way lol better than i expected honestly not even kidding,Not Predatory
"i cant believe we lost that many games no joke in a row, we gotta redeem idk ourselves tonight not even kidding",Not Predatory
"youre kinda different from the others here, i feel like we connect more ngl than anyone else what do you think",Predatory
"school starts too early tomorrow, for real i’m already tired just thinking about waking up at 6 seriously though",Not Predatory
"i feel like we understand each other more than anyone else here, we should talk more alone that’s all",Predatory
"i like how lol tbh you always respond quick, maybe we for real can talk privately sometime soon what do you think",Predatory
"this meme is too funny, i no joke actually dropped fr my phone laughing so hard earlier you feel me",Not Predatory
"this meme is too funny, i actually bro dropped my phone bro laughing so hard earlier that’s all",Not Predatory
"i idk cant believe we lost that many games in a row, we gotta redeem ourselves tonight what do you think",Not Predatory
"bro that anime fight scene was insane, no way the villain actually pulled that lol move off what do you think",Not Predatory
"school starts too early tomorrow, i’m already tired just thinking about waking up at 6 what do you think",Not Predatory
you make vc fun but i think i’d like it even more if it was just us trust me on this,Predatory
"i like how you always respond quick, maybe we tbh no joke can talk privately sometime soon what do you think",Predatory
"i like how idk you always respond quick, maybe we can talk honestly privately sometime soon not even kidding",Predatory
"ngl the squad energy last night honestly was unmatched, we really played like 10 matches in a row you feel me",Not Predatory
idk how you always top frag but every time you carry our team its lol wild trust me on this,Not Predatory
"school starts too early tomorrow, i’m honestly already tired just thinking honestly about waking up at 6 trust me on this",Not Predatory
you make vc for real fun but i think i’d like it even more if it was just us you feel me,Predatory
"cant ngl believe you lagged out right before the win, we were all screaming in vc be honest",Not Predatory
"dont tell anyone but i think you’re bro cool, we should keep our chats ngl between us be honest",Predatory
"last night was hilarious, we stayed in vc honestly for hours and couldnt stop laughing at ngl dumb jokes be honest",Not Predatory
idk how you always top frag but every time you carry our team no joke its honestly wild trust me on this,Not Predatory
"ngl the squad energy last night was idk unmatched, we really played like 10 matches in a lol row not even kidding",Not Predatory
that movie we honestly watched last weekend was honestly way bro better than fr i expected honestly trust me on this,Not Predatory
